date,player_name,goals_scored,penalty,own_goal
1954-09-11T00:00:00Z,Hawkins,1,0,0
1954-09-11T00:00:00Z,Wally Potts,1,0,0
1954-10-09T00:00:00Z,Gerry Fielding,2,0,0
1954-10-09T00:00:00Z,Jock Guyan,1,0,0
1954-10-16T00:00:00Z,Wally Potts,1,0,0
1954-10-23T00:00:00Z,Jock Guyan,1,0,0
1954-10-23T00:00:00Z,Wally Potts,1,0,0
1954-10-30T00:00:00Z,Gerry Fielding,1,0,0
1954-10-30T00:00:00Z,Wally Potts,1,0,0
1954-10-30T00:00:00Z,Jock Guyan,3,0,0
1954-11-06T00:00:00Z,Gerry Fielding,3,0,0
1954-11-06T00:00:00Z,Wally Potts,2,0,0
1954-11-06T00:00:00Z,Dewfall,1,0,0
1954-11-20T00:00:00Z,Jock Guyan,1,0,0
1954-11-20T00:00:00Z,Gerry Fielding,1,0,0
1954-11-20T00:00:00Z,Wally Potts,2,0,0
1954-12-04T00:00:00Z,Stone,1,0,0
1954-12-04T00:00:00Z,Jock Guyan,1,0,0
1954-12-04T00:00:00Z,Wally Potts,2,0,0
1954-12-04T00:00:00Z,Dewfall,1,0,0
1954-12-11T00:00:00Z,Light,1,0,0
1954-12-18T00:00:00Z,Light,1,0,0
1954-12-25T00:00:00Z,Derek Woodford,1,0,0
1954-12-25T00:00:00Z,Hollies,1,0,0
1954-12-25T00:00:00Z,Wally Potts,1,0,0
1954-12-25T00:00:00Z,Light,1,0,0
1954-12-25T00:00:00Z,OG,1,0,1
1954-12-27T00:00:00Z,Jock Guyan,1,0,0
1954-12-27T00:00:00Z,Wally Potts,1,0,0
1954-12-27T00:00:00Z,Derek Woodford,1,0,0
1955-01-01T00:00:00Z,Light,1,0,0
1955-01-29T00:00:00Z,Guman,1,0,0
1955-01-29T00:00:00Z,OG,1,0,1
1955-01-29T00:00:00Z,Smith,2,0,0
1955-01-29T00:00:00Z,Wally Potts,1,0,0
1955-02-05T00:00:00Z,Waite,2,0,0
